dotx,Microsoft Word XML document template,https://www.file-extensions.org/dotx-file-extension
epub,Open Publication structure e-book,https://www.file-extensions.org/epub-file-extension
gp4,Guitar Pro 4 project,https://www.file-extensions.org/gp4-file-extension
ind,Adobe InDesign graphics document,https://www.file-extensions.org/ind-file-extension
indd,Adobe InDesign document,https://www.file-extensions.org/indd-file-extension
key,iWork Keynote '09 presentation,https://www.file-extensions.org/key-file-extension-iwork-keynote-09-presentation
keynote,iWork Keynote '06 presentation,https://www.file-extensions.org/keynote-file-extension
mht,Mime HTML (MHTML) document,https://www.file-extensions.org/mht-file-extension
mpp,Microsoft Project plan file,https://www.file-extensions.org/mpp-file-extension
odf,Open Document Interchange Format (ODIF),https://www.file-extensions.org/odf-file-extension
ods,OpenDocument spreadsheet,https://www.file-extensions.org/ods-file-extension
odt,ODF text document,https://www.file-extensions.org/odt-file-extension
opx,Microsoft Office Organization chart file format,https://www.file-extensions.org/opx-file-extension
ott,OpenOffice.org text document template,https://www.file-extensions.org/ott-file-extension
oxps,Microsoft OpenXPS document,https://www.file-extensions.org/oxps-file-extension
pages,Pages document,https://www.file-extensions.org/pages-file-extension
pdf,Adobe Portable document format,https://www.file-extensions.org/pdf-file-extension
pmd,Adobe PageMaker document,https://www.file-extensions.org/pmd-file-extension
pot,Microsoft PowerPoint 97 to 2003 template,https://www.file-extensions.org/pot-file-extension
potx,Microsoft PowerPoint Open XML presentation template,https://www.file-extensions.org/potx-file-extension
pps,Microsoft PowerPoint 97 to 2003 complete slide show,https://www.file-extensions.org/pps-file-extension
ppsx,Microsoft PowerPoint Open XML complete slide show,https://www.file-extensions.org/ppsx-file-extension
ppt,Microsoft PowerPoint 97 to 2003 presentation,https://www.file-extensions.org/ppt-file-extension
pptm,Microsoft PowerPoint macro-enabled Open XML presentation,https://www.file-extensions.org/pptm-file-extension
pptx,Microsoft PowerPoint Open XML presentation,https://www.file-extensions.org/pptx-file-extension
prn,HP PCL printer output,https://www.file-extensions.org/prn-file-extension
prproj,Adobe Premiere Pro project,https://www.file-extensions.org/prproj-file-extension
ps,Adobe PostScript document,https://www.file-extensions.org/ps-file-extension
pub,Microsoft Publisher document,https://www.file-extensions.org/pub-file-extension
pwi,Microsoft Office Mobile personal note,https://www.file-extensions.org/pwi-file-extension
rtf,Rich Text Format document,https://www.file-extensions.org/rtf-file-extension
sdd,OpenOffice.org presentation,https://www.file-extensions.org/sdd-file-extension
sdw,OpenOffice.org text document,https://www.file-extensions.org/sdw-file-extension
shs,Microsoft Windows Shell Scrap Object,https://www.file-extensions.org/shs-file-extension-microsoft-windows-shell-scrap-object
snp,Microsoft Access report shapshot,https://www.file-extensions.org/snp-file-extension
sxw,OpenOffice.org Writer document,https://www.file-extensions.org/sxw-file-extension
tpl,Template file,https://www.file-extensions.org/tpl-file-extension
vsd,Microsoft Visio diagram document,https://www.file-extensions.org/vsd-file-extension
wpd,Corel WordPerfect document,https://www.file-extensions.org/wpd-file-extension
wps,Microsoft Works document,https://www.file-extensions.org/wps-file-extension
wri,Windows Write document,https://www.file-extensions.org/wri-file-extension
xps,Microsoft XPS document,https://www.file-extensions.org/xps-file-extension
1st,Readme first text document,https://www.file-extensions.org/1st-file-extension-readme-first-text-document
alx,BlackBerry application loader,https://www.file-extensions.org/alx-file-extension
application,ClickOnce deployment manifest,https://www.file-extensions.org/application-file-extension
asp,Active Server Page script page,https://www.file-extensions.org/asp-file-extension
csv,Comma Separated Value file,https://www.file-extensions.org/csv-file-extension
htm,HTML Hypertext Markup Language web page,https://www.file-extensions.org/htm-file-extension
html,HyperText Markup Language web page,https://www.file-extensions.org/html-file-extension
log,Log,https://www.file-extensions.org/log-file-extension
lrc,Lyrics data,https://www.file-extensions.org/lrc-file-extension
lst,List text,https://www.file-extensions.org/lst-file-extension
md,Markdown markup language source code,https://www.file-extensions.org/md-file-extension
nfo,Information readme text document,https://www.file-extensions.org/nfo-file-extension
opml,OPML Outline Processor Markup Language file format,https://www.file-extensions.org/opml-file-extension
plist,Apple property XML list,https://www.file-extensions.org/plist-file-extension
reg,Windows registry data,https://www.file-extensions.org/reg-file-extension
rtf,Rich Text Format document,https://www.file-extensions.org/rtf-file-extension
srt,SubRip video subtitle format,https://www.file-extensions.org/srt-file-extension
sub,DivX movie subtitle file format,https://www.file-extensions.org/sub-file-extension
tbl,Table data,https://www.file-extensions.org/tbl-file-extension
text,Simple text file,https://www.file-extensions.org/text-file-extension
txt,Simple text,https://www.file-extensions.org/txt-file-extension
xml,XML document,https://www.file-extensions.org/xml-file-extension
xmp,Adobe Extensible Metadata Platform data,https://www.file-extensions.org/xmp-file-extension
xsd,XML schema description,https://www.file-extensions.org/xsd-file-extension
xsl,XML eXtensible stylesheet,https://www.file-extensions.org/xsl-file-extension
xslt,XSL transform data,https://www.file-extensions.org/xslt-file-extension
azw,Amazon Kindle eBook format,https://www.file-extensions.org/azw-file-extension
azw3,Amazon Kindle eBook,https://www.file-extensions.org/azw3-file-extension
azw4,Amazon Kindle Print Replica e-book,https://www.file-extensions.org/azw4-file-extension
cbr,Comic Book Archive file or ComicBook Reader e-book,https://www.file-extensions.org/cbr-file-extension
cbz,Comic Book Archive file or ComicBook Reader e-book,https://www.file-extensions.org/cbz-file-extension
epub,Open Publication structure e-book,https://www.file-extensions.org/epub-file-extension
fb2,FictionBook e-Book,https://www.file-extensions.org/fb2-file-extension
iba,iBooks Author e-book,https://www.file-extensions.org/iba-file-extension
ibooks,iBooks e-book,https://www.file-extensions.org/ibooks-file-extension
lit,Microsoft Reader eBook,https://www.file-extensions.org/lit-file-extension
mobi,Mobipocket eBook format,https://www.file-extensions.org/mobi-file-extension
pdf,Adobe Portable document format,https://www.file-extensions.org/pdf-file-extension
numbers,Apple Numbers spreadsheet,https://www.file-extensions.org/numbers-file-extension
ods,OpenDocument spreadsheet,https://www.file-extensions.org/ods-file-extension
sdc,OpenOffice.org spreadsheet,https://www.file-extensions.org/sdc-file-extension
sxc,Apache OpenOffice 1.0 spreadsheet,https://www.file-extensions.org/sxc-file-extension
xls,Microsoft Excel 97 to 2003 workbook,https://www.file-extensions.org/xls-file-extension
xlsm,Microsoft Excel Open XML macro-enabled workbook,https://www.file-extensions.org/xlsm-file-extension
xlsx,Microsoft Excel Open XML workbook and spreadsheet,https://www.file-extensions.org/xlsx-file-extension
accdb,Microsoft Access main database,https://www.file-extensions.org/accdb-file-extension
accdt,Microsoft Access database template,https://www.file-extensions.org/accdt-file-extension
doc,Microsoft Word document (prior version 2007),https://www.file-extensions.org/doc-file-extension
docm,Microsoft Word Open XML macro-enabled document,https://www.file-extensions.org/docm-file-extension
docx,Microsoft Word Open XML document,https://www.file-extensions.org/docx-file-extension
dot,Microsoft Word document template (up to Microsoft Word 2003 version),https://www.file-extensions.org/dot-file-extension
dotm,Microsoft Word Open XML macro-enabled document template,https://www.file-extensions.org/dotm-file-extension
dotx,Microsoft Word XML document template,https://www.file-extensions.org/dotx-file-extension
mdb,Microsoft Access database,https://www.file-extensions.org/mdb-file-extension
mpd,Microsoft Project database,https://www.file-extensions.org/mpd-file-extension
mpp,Microsoft Project plan file,https://www.file-extensions.org/mpp-file-extension
mpt,Microsoft Project template,https://www.file-extensions.org/mpt-file-extension
oft,Microsoft Outlook template,https://www.file-extensions.org/oft-file-extension
one,Microsoft OneNote document,https://www.file-extensions.org/one-file-extension
onepkg,Microsoft OneNote package,https://www.file-extensions.org/onepkg-file-extension
pot,Microsoft PowerPoint 97 to 2003 template,https://www.file-extensions.org/pot-file-extension
potx,Microsoft PowerPoint Open XML presentation template,https://www.file-extensions.org/potx-file-extension
pps,Microsoft PowerPoint 97 to 2003 complete slide show,https://www.file-extensions.org/pps-file-extension
ppsx,Microsoft PowerPoint Open XML complete slide show,https://www.file-extensions.org/ppsx-file-extension
ppt,Microsoft PowerPoint 97 to 2003 presentation,https://www.file-extensions.org/ppt-file-extension
pptm,Microsoft PowerPoint macro-enabled Open XML presentation,https://www.file-extensions.org/pptm-file-extension
pptx,Microsoft PowerPoint Open XML presentation,https://www.file-extensions.org/pptx-file-extension
pst,Microsoft Outlook personal storage table,https://www.file-extensions.org/pst-file-extension
pub,Microsoft Publisher document,https://www.file-extensions.org/pub-file-extension
snp,Microsoft Access report shapshot,https://www.file-extensions.org/snp-file-extension
thmx,Microsoft Office theme,https://www.file-extensions.org/thmx-file-extension
vsd,Microsoft Visio diagram document,https://www.file-extensions.org/vsd-file-extension
vsdx,Microsoft Visio drawing,https://www.file-extensions.org/vsdx-file-extension
xls,Microsoft Excel 97 to 2003 workbook,https://www.file-extensions.org/xls-file-extension
xlsm,Microsoft Excel Open XML macro-enabled workbook,https://www.file-extensions.org/xlsm-file-extension
xlsx,Microsoft Excel Open XML workbook and spreadsheet,https://www.file-extensions.org/xlsx-file-extension
big,Electronic Arts game resource package,https://www.file-extensions.org/big-file-extension
bik,BINK video,https://www.file-extensions.org/bik-file-extension
cab,Windows Cabinet Compressed Archive,https://www.file-extensions.org/cab-file-extension
dat,Game data,https://www.file-extensions.org/dat-file-extension-game-data
dds,DirectDraw surface data,https://www.file-extensions.org/dds-file-extension
dff,Grand Theft Auto III model,https://www.file-extensions.org/dff-file-extension
hi,High score record,https://www.file-extensions.org/hi-file-extension
lng,Language definition file,https://www.file-extensions.org/lng-file-extension
pak,Game resource package,https://www.file-extensions.org/pak-file-extension
replay,Rocket League game replay,https://www.file-extensions.org/replay-file-extension
replay,Fortnite game replay,https://www.file-extensions.org/replay-file-extension-fortnite-game-replay
res,Game resource data,https://www.file-extensions.org/res-file-extension-game-resource-data
rofl,League of Legends game replay file,https://www.file-extensions.org/rofl-file-extension
sav,Saved game file,https://www.file-extensions.org/sav-file-extension
save,Doom 3 saved game,https://www.file-extensions.org/save-file-extension
sc2replay,Starcraft 2 game replay,https://www.file-extensions.org/sc2replay-file-extension
scn,Game scenario file,https://www.file-extensions.org/scn-file-extension-game-scenario-file
scx,Game scenario,https://www.file-extensions.org/scx-file-extension-game-scenario
uax,Unreal audio package,https://www.file-extensions.org/uax-file-extension
wotreplay,World of Tanks battle replay,https://www.file-extensions.org/wotreplay-file-extension
wowpreplay,World of Warplanes replay,https://www.file-extensions.org/wowpreplay-file-extension
dat,Game data,https://www.file-extensions.org/dat-file-extension-game-data
g64,C64 emulator disk image,https://www.file-extensions.org/g64-file-extension
gb,Nintendo Gameboy ROM image,https://www.file-extensions.org/gb-file-extension
gba,Nintendo Game Boy Advance ROM image,https://www.file-extensions.org/gba-file-extension
mbz,Pogoshell NES emulator plugin,https://www.file-extensions.org/mbz-file-extension
n64,Nintendo 64 Emulation ROM image,https://www.file-extensions.org/n64-file-extension
nds,Nintendo DS game ROM image,https://www.file-extensions.org/nds-file-extension
nes,Nintendo Entertainment System ROM image,https://www.file-extensions.org/nes-file-extension
rom,Read Only Memory image,https://www.file-extensions.org/rom-file-extension
smc,Super Nintendo game-console ROM image,https://www.file-extensions.org/smc-file-extension
smd,Sega Genesis ROM emulator data,https://www.file-extensions.org/smd-file-extension
srm,Super Nintendo ROM saved game,https://www.file-extensions.org/srm-file-extension
v64,Nintendo 64 emulation ROM image,https://www.file-extensions.org/v64-file-extension
ova,Open Virtual Machine Format single archive,https://www.file-extensions.org/ova-file-extension
ovf,Open Virtualization Format package file,https://www.file-extensions.org/ovf-file-extension
pvm,Parallels Desktop virtual machine,https://www.file-extensions.org/pvm-file-extension
vdi,VirtualBox disk image,https://www.file-extensions.org/vdi-file-extension
vhd,Virtual Hard Disk file,https://www.file-extensions.org/vhd-file-extension
vhdx,Microsoft Windows Hyper-V virtual hard disk,https://www.file-extensions.org/vhdx-file-extension
vmdk,VMware virtual disk,https://www.file-extensions.org/vmdk-file-extension
vmem,VMware virtual machine's paging data,https://www.file-extensions.org/vmem-file-extension
vmwarevm,VMware Fusion virtual machine,https://www.file-extensions.org/vmwarevm-file-extension
vmx,VMware configuration data file,https://www.file-extensions.org/vmx-file-extension
ashx,ASP.NET web handler file,https://www.file-extensions.org/ashx-file-extension
asp,Active Server Page script page,https://www.file-extensions.org/asp-file-extension
aspx,Active Server Page Extended ASP.NET script,https://www.file-extensions.org/aspx-file-extension
atom,Atom web feed,https://www.file-extensions.org/atom-file-extension
bc,BitTorrent unfinished download,https://www.file-extensions.org/bc-file-extension
bc!,Bittorrent unfinished download,https://www.file-extensions.org/bc%21-file-extension
